DEBUG 25-01 09:35:13,176 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  25-01 09:35:13,179 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /Users/dinghanji/Downloads/PGDSpider_2.1.1.3/spider.conf.xml
DEBUG 25-01 09:35:14,094 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 25-01 09:35:14,095 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 25-01 09:35:14,134 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 25-01 09:35:14,137 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 25-01 09:35:14,141 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 25-01 09:35:14,153 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 25-01 09:35:14,153 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 25-01 09:35:14,161 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 25-01 09:35:14,165 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 25-01 09:35:14,167 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 25-01 09:35:14,167 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 25-01 09:35:14,170 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 25-01 09:35:14,172 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 25-01 09:35:14,174 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 25-01 09:35:14,179 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 25-01 09:35:14,180 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 25-01 09:35:14,181 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 25-01 09:35:14,181 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 25-01 09:35:14,183 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 25-01 09:35:14,185 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 25-01 09:35:14,188 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 25-01 09:35:14,189 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 25-01 09:35:14,191 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 25-01 09:35:14,192 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 25-01 09:35:14,194 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 25-01 09:35:14,196 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 25-01 09:35:14,198 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 25-01 09:35:14,200 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 25-01 09:35:14,202 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 25-01 09:35:14,202 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 25-01 09:35:14,204 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 25-01 09:35:14,206 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 25-01 09:35:14,209 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 25-01 09:35:14,211 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 25-01 09:35:14,211 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 25-01 09:35:14,214 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 25-01 09:35:14,218 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 25-01 09:35:14,219 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 25-01 09:35:14,221 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 25-01 09:35:14,224 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 25-01 09:35:14,228 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 25-01 09:35:14,228 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 25-01 09:35:14,232 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 25-01 09:35:14,240 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 25-01 09:35:14,267 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 25-01 09:35:14,288 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 25-01 09:35:14,288 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 25-01 09:35:14,302 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 25-01 09:35:14,336 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 25-01 09:35:14,337 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 25-01 09:35:14,339 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 25-01 09:35:16,258 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 25-01 09:37:05,334 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 25-01 09:37:05,334 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 25-01 09:37:05,389 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
