DEBUG 15-01 13:47:22,200 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
WARN  15-01 13:47:22,203 (PGDSpiderConfig.java:loadConfig:75)  -PGDSpider configuration file not found! Loading default configuration.
DEBUG 15-01 13:47:23,599 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 15-01 13:47:23,600 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 15-01 13:47:23,637 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 15-01 13:47:23,640 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 15-01 13:47:23,642 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 15-01 13:47:23,650 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 15-01 13:47:23,650 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 15-01 13:47:23,658 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 15-01 13:47:23,663 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 15-01 13:47:23,665 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 15-01 13:47:23,665 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 15-01 13:47:23,668 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 15-01 13:47:23,670 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 15-01 13:47:23,673 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 15-01 13:47:23,676 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 15-01 13:47:23,678 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 15-01 13:47:23,679 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 15-01 13:47:23,679 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 15-01 13:47:23,681 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 15-01 13:47:23,683 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 15-01 13:47:23,685 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
